index,BuildingRatingDesc,BuildingClassDesc,StreetAddress,Quadrant,City,State,PostCode,Latitude,Longitude,MinRent,MaxRent,NumBedsMin,NumBedsMax,NumBathsMin,NumBathsMax,UnitMinSqFt,UnitMaxSqFt,NUMUNITS,MinLeaseTermsMonths,MaxLeaseTermsMonths,IsShortTermLeaseAvailableFlag,AYB,EYB,YR_RMDL,STORIES,GBA,LotSqFtTotal,Rooms-Kitchen,Rooms-Heating,Rooms-Range,Rooms-Refrigerator,Rooms-Oven,Rooms-Air Conditioning,Building-Elevator,Rooms-Wheelchair Accessible (Rooms),Building-Laundry Facilities,Rooms-Hardwood Floors,Rooms-Tub/Shower,Rooms-Cable Ready,Rooms-Dishwasher,Building-Property Manager on Site,Building-Fitness Center,Building-Doorman,Rooms-Stainless Steel Appliances,Building-Controlled Access,Rooms-Microwave,Building-Concierge,Rooms-Washer/Dryer,Rooms-Granite Countertops,Rooms-Balcony,Rooms-Views,Building-24 Hour Availability,Rooms-High Speed Internet Access,Building-Maintenance on site,Building-Security System,Rooms-Vaulted Ceiling,Building-On-Site Retail,Building-Bike Storage,Rooms-Walk-In Closets,Building-Courtyard,Rooms-Storage Units,Building-Pool,Building-Storage Space,Rooms-Tile Floors,Building-Rooftop Lounge,Building-Gameroom,Building-Package Service,Building-Lounge,Rooms-Fireplace,Building-Sundeck,Building-Playground,Building-Clubhouse,Rooms-Intercom,Rooms-Smoke Free,Rooms-Disposal,Rooms-Eat-in Kitchen,Building-Dry Cleaning Service,Rooms-Freezer,Rooms-Carpet,Building-Business Center,Building-Vintage Building,Building-Video Patrol,Rooms-Dining Room,Building-Spa,Building-Media Center/Movie Theatre,Building-Sauna,Building-Grill,Building-Recycling,Rooms-Wi-Fi,Building-Laundry Service,Rooms-Patio,Rooms-Deck,Building-Car Charging Station,Rooms-Window Coverings,Building-Breakfast/Coffee Concierge,Building-Pet Play Area,Rooms-Crown Molding,Building-Maid Service,Building-Basketball Court,Rooms-Office,Building-Gated,Building-Cardio Machines,Rooms-Pantry,Rooms-Bay Window,Building-Free Weights,Building-Furnished Units Available,Rooms-Garden,Rooms-Ceiling Fans,Building-Online Services,Rooms-Washer/Dryer Hookup,Rooms-Sprinkler System,Rooms-Alarm,Building-Waterfront,Rooms-Double Pane Windows,Building-Multi Use Room,Building-Trash Pickup - Curbside,Building-Weight Machines,Rooms-Ice Maker,Building-Library,Building-Health Club Facility,Building-Picnic Area,Building-Planned Social Activities,Building-Walking/Biking Trails,Rooms-Basement,Rooms-Double Vanities,Rooms-Satellite TV,Rooms-Linen Closet,Building-Trash Pickup - Door to Door,Building-Pet Care,Building-Renters Insurance Program,Rooms-Yard,Building-Fitness Programs,Note
274,3 Star,B,1301 7th St NW,NW,Washington,DC,20001,38.9079666,-77.0217281,,,0,3,1,1,600,1200,217,,,,,2011,2011,10,220005,80799,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
275,5 Star,A,3401 Idaho Ave NW,NW,Washington,DC,20016,38.935105,-77.0730501,2033,11028,0,3,1,3,451,3183,145,,,,2013,,,4,258200,139828,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"??? boasts comfortable flats, airy lofts, and well appointed townhomes - three distinct residences situated on top of the hottest new retail and restaurant options in Cathedral Heights. Our spacious, modern flats open up to expansive views of the National Cathedral, while impressive, two-story windows soar from our lofts. Graciously sized decks and private garages adorn our townhomes. Each of our homes has been designed with the utmost thought, care, and graceful sense of style and comfort. Brand new, on-site retail provides convenience at every turn, from Giant Foods to CVS to Solidcore Fitness and banking options."
276,3 Star,A,7150 Rock Ridge Ln,,Alexandria,VA,22315,38.763249,-77.148265,1540,4315,1,3,1,3,693,1352,358,,,,,,,3,332834,1156082,1,1,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Edgemoore is raising the bar for apartment living experience in Alexandrias Kingstowne area. Our one, two, and three-bedroom apartments are not only in a prime location with easy access to fine dining, shopping, and entertainment but also offer all the comfort and sophistication you deserve. (+more) Get ready for a VIP treatment only Edgemoore can offer. Custom finishes, upscale features, and grand amenities are all waiting for you to claim them as your own. Starting with our exclusive military discounts, free access to Kingstowne Association, and the views of lush greenery from your private balcony, weve left nothing to chance. Socialize in style and get to know your neighbors in the residents lounge or at the swimming pool and sundeck area or get a workout in at our fitness center or tennis courts. Our pet-friendly community is proud to offer one and two-bedroom apartment homes, with optional lofts or sunrooms complete with washer/dryer sets, stainless steel appliances, separate dining areas, walk-in closets, and wood-burning fireplaces among other high-end details. Warm and inviting, our community welcomes pets of all sizes with an on-site private dog park and also feature a playground for our younger residents to enjoy. On top of all of these, were right off Manchester Boulevard, just around the corner from Kingstowne Towne Center, and have fast access to Washington D.C. via I-495. Northern Virginia Community College, Springfield Town Center, Franconia-Springfield Metro Station, and other local points of interest are nearby as well as top employers and schools. Find out more about our luxury lifestyle in Alexandria, VA and contact us for a personal tour of ??? Apartments!"
277,3 Star,B,11200 Golden Leaf Cir,,Manassas,VA,201097675,38.7871275,-77.5296055,1229,1550,2,3,2,2,949,1156,252,12,12,,,,,3,260000,272712,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Embrace the comforts of home at ???. We offer the finest luxury living in Manassas! Each two and three bedroom home offers its resident a full size washer and dryer, plush wall-to-wall carpet, two full bathrooms, roomy closets, private entrances and much more. Spend your free time in the sparkling swimming pool or get in a workout in our fitness center. Not only will you love our incredible amenities, but you will also love our wonderful location. ??? is within walking distance to Barron Park and a short drive to various shopping centers, including Promenade at Manassas, Sudley Manor Square Shopping Center and Westgate Plaza. Our friendly and professional management team look forward to serving you, so come experience the good life at ???...because you're worth it. Call today to find out about our great specials that we are currently offering!"
278,2 Star,B,3616 Connecticut Ave NW,NW,Washington,DC,20008,38.9372094,-77.0600238,,,0,0,0,0,0,0,31,,,,,,,4,24732,282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,3 Star,C,9270-9284 Adelphi Rd,,Hyattsville,MD,20783,39.006286,-76.971341,,,,,,,,,,,,,,,,3,115056,1795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
280,4 Star,A,2301 Champlain St NW,NW,Washington,DC,200098700,38.918522,-77.039999,,,0,0,,,,,68,,,,,,,5,55760,,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
281,2 Star,C,3738 D St SE,SE,Washington,DC,200193253,38.883881,-76.951363,899,1199,0,2,1,1,354,731,348,,,,,,,2,236546,775246,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"The apartment homes at ??? feature an array of modern amenities and many extras for your convenience. Choose from a variety of living spaces designed to meet your every need. You'll be close to transportation, shopping, and great entertainment. Call today to make ??? your new home!"
282,3 Star,B,201 58th St SE,SE,Washington,DC,20019,38.8915013,-76.9173968,1500,1500,1,4,1,3,542,1777,237,,,,,,,4,201452,160697,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
283,2 Star,C,101 Doub Way,,Hagerstown,MD,21740,39.6155645,-77.7296865,840,940,2,3,1,1,940,1040,96,,,,,,,2,98200,467834,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
